event_id,createdAt,createdBy,request_request,status
1,2025-06-09T14:26:49,Amanda Freitas,4512192115,NOT_COMPLETED
1,2025-08-23T10:12:47,Julia Ribeiro,4511062208,COMPLETED
2,2025-08-23T12:32:47,Paulo Henrique,4511062208,COMPLETED
3,2025-08-23T14:03:47,Bruna Costa,4511062208,COMPLETED
4,2025-08-23T13:36:47,Kelly Santos,4511062208,COMPLETED
5,2025-08-23T11:18:47,Julia Ribeiro,4511062208,COMPLETED
6,2025-08-23T12:48:47,Carla Mendes,4511062208,COMPLETED
7,2025-08-23T12:15:47,Caio Gonçalves,4511062208,COMPLETED
8,2025-08-23T18:04:47,Daniel Souza,4511062208,NOT_COMPLETED
1,2025-07-26T18:42:40,Carla Mendes,4531288444,COMPLETED
2,2025-07-26T18:50:40,Sofia Martins,4531288444,COMPLETED
3,2025-07-26T20:50:40,Bruna Costa,4531288444,COMPLETED
4,2025-07-26T18:34:40,Gabriel Rocha,4531288444,COMPLETED
5,2025-07-26T23:02:40,Sofia Martins,4531288444,COMPLETED
6,2025-07-26T20:56:40,Bruna Costa,4531288444,COMPLETED
7,2025-07-26T18:44:40,Sofia Martins,4531288444,COMPLETED
8,2025-07-27T01:38:40,Sofia Martins,4531288444,COMPLETED
9,2025-07-26T21:20:40,Sofia Martins,4531288444,COMPLETED
10,2025-07-27T00:02:40,Caio Gonçalves,4531288444,COMPLETED
11,2025-07-27T05:46:40,Gabriel Rocha,4531288444,NOT_COMPLETED
1,2025-05-21T12:36:57,Amanda Freitas,4582393692,COMPLETED
2,2025-05-21T14:14:57,Ana Lima,4582393692,COMPLETED
3,2025-05-21T15:14:57,Kelly Santos,4582393692,COMPLETED
4,2025-05-21T16:58:57,Paulo Henrique,4582393692,COMPLETED
5,2025-05-21T14:48:57,Bruna Costa,4582393692,NOT_COMPLETED
1,2025-05-11T12:02:23,Amanda Freitas,4569387674,NOT_COMPLETED
1,2025-07-24T23:47:33,Marcos Oliveira,4543280505,COMPLETED
2,2025-07-25T00:00:33,Sofia Martins,4543280505,COMPLETED
3,2025-07-25T02:40:33,Gabriel Rocha,4543280505,COMPLETED
