event_id,createdAt,createdBy,request_request,status
1,2025-09-09T20:32:06,Julia Ribeiro,4595761804,COMPLETED
2,2025-09-09T19:51:06,Kelly Santos,4595761804,NOT_COMPLETED
1,2025-11-09T12:13:55,Carla Mendes,4578995519,COMPLETED
2,2025-11-09T11:29:55,Kelly Santos,4578995519,COMPLETED
3,2025-11-09T13:53:55,Caio Gonçalves,4578995519,COMPLETED
4,2025-11-09T11:17:55,Tiago Nunes,4578995519,COMPLETED
5,2025-11-09T14:43:55,Daniel Souza,4578995519,COMPLETED
6,2025-11-09T12:59:55,Caio Gonçalves,4578995519,COMPLETED
7,2025-11-09T21:16:55,Paulo Henrique,4578995519,COMPLETED
8,2025-11-09T11:49:55,Gabriel Rocha,4578995519,COMPLETED
9,2025-11-09T23:29:55,Marcos Oliveira,4578995519,COMPLETED
10,2025-11-10T00:53:55,Sofia Martins,4578995519,COMPLETED
11,2025-11-09T15:06:55,Sofia Martins,4578995519,NOT_COMPLETED
1,2025-04-01T10:02:25,Daniel Souza,4594102095,COMPLETED
2,2025-04-01T10:58:25,Ana Lima,4594102095,COMPLETED
3,2025-04-01T12:07:25,Tiago Nunes,4594102095,COMPLETED
4,2025-04-01T12:20:25,Marcos Oliveira,4594102095,COMPLETED
5,2025-04-01T09:29:25,Fábio Fernandes,4594102095,COMPLETED
6,2025-04-01T12:04:25,Sofia Martins,4594102095,COMPLETED
7,2025-04-01T12:34:25,Amanda Freitas,4594102095,COMPLETED
8,2025-04-01T16:16:25,Amanda Freitas,4594102095,COMPLETED
9,2025-04-01T16:25:25,Gabriel Rocha,4594102095,COMPLETED
10,2025-04-01T10:14:25,Gabriel Rocha,4594102095,COMPLETED
11,2025-04-01T20:04:25,Ana Lima,4594102095,NOT_COMPLETED
1,2025-02-08T14:51:31,Paulo Henrique,4584402113,COMPLETED
2,2025-02-08T15:37:31,Ana Lima,4584402113,COMPLETED
3,2025-02-08T14:53:31,Julia Ribeiro,4584402113,COMPLETED
4,2025-02-08T16:31:31,Rafael Duarte,4584402113,COMPLETED
5,2025-02-08T19:10:31,Marcos Oliveira,4584402113,COMPLETED
6,2025-02-08T17:59:31,Amanda Freitas,4584402113,COMPLETED
7,2025-02-08T20:39:31,Caio Gonçalves,4584402113,COMPLETED
8,2025-02-08T19:23:31,Gabriel Rocha,4584402113,NOT_COMPLETED
1,2025-12-13T13:14:29,Ana Lima,4589457090,COMPLETED
2,2025-12-13T12:26:29,Fábio Fernandes,4589457090,COMPLETED
3,2025-12-13T15:21:29,Rafael Duarte,4589457090,COMPLETED
4,2025-12-13T14:56:29,Tiago Nunes,4589457090,COMPLETED
5,2025-12-13T16:05:29,Bruna Costa,4589457090,COMPLETED
6,2025-12-13T19:00:29,Fábio Fernandes,4589457090,COMPLETED
7,2025-12-13T18:46:29,Marcos Oliveira,4589457090,COMPLETED
8,2025-12-13T16:32:29,Bruna Costa,4589457090,COMPLETED
9,2025-12-13T17:42:29,Kelly Santos,4589457090,COMPLETED
10,2025-12-13T14:40:29,Rafael Duarte,4589457090,NOT_COMPLETED
1,2025-04-08T13:27:16,Tiago Nunes,4544337284,COMPLETED
2,2025-04-08T13:09:16,Caio Gonçalves,4544337284,COMPLETED
3,2025-04-08T12:36:16,Marcos Oliveira,4544337284,COMPLETED
4,2025-04-08T12:25:16,Bruna Costa,4544337284,COMPLETED
